name,id,wikidataId,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,digitalSource,originalSourcePublisher,originalSourcePubPlace,originalSourceYear,originalSourceNumberOfPages,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,datePremiered,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,numOfScenes,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"a-the-valiant-welshman","eng000609","","A.","0","The Valiant Welshman","","","https://texts.earlyprint.org/works/A05801.xml","","","","","1615","0","false","","","","","","","","","1615","","0","0","0","0","0","","","","25","","5","25","17840","16429","986","121","1727"
"alexander-caesar","eng000261","","Alexander","0","Caesar","","Tragedy","https://texts.earlyprint.org/works/A16527_04.xml","","","","","1604","11","false","0.47878787878787876","0.38181818181818183","1.6","eng000261-marcus-brutus|eng000261-chorus","3.8181818181818183","3","","","","6","11","3","8","0","1","2","21","1604","9","","5","8","26908","21407","48","33","2584"
"alexander-croesus","eng000258","","Alexander","0","Croesus","","Tragedy","https://texts.earlyprint.org/works/A16527_01.xml","","","","","1604","11","false","0.701948051948052","0.32727272727272727","1.5135135135135136","eng000258-croesus","3.272727272727273","2","","","","8","11","1","10","0","1","2","18","1604","9","","5","8","24397","20156","28","10","2422"
"alexander-darius","eng000259","","Alexander","0","Darius","","Tragedy","https://texts.earlyprint.org/works/A16527_02.xml","","","","","1603","14","false","0.7333333333333333","0.27472527472527475","2.4285714285714284","eng000259-sisigambis","3.5714285714285716","5","","","","6","14","0","0","0","0","1","25","1603","9","","5","7","19153","14453","33","45","1683"
"alexander-the-alexandraean-tragedy","eng000260","","Alexander","0","The Alexandraean Tragedy","","Tragedy","https://texts.earlyprint.org/works/A16527_03.xml","","","","","1605","16","false","0.6452380952380952","0.2916666666666667","1.7721518987341771","eng000260-ptolemy","4.375","4","","","","10","16","2","14","0","1","3","35","1605","9","","5","8","28756","23337","36","23","2817"
"anon-a-knack-to-know-a-knave","eng000095","Q49000520","Anon.","0","A Knack to Know a Knave","","Comedy","https://texts.earlyprint.org/works/A04888.xml","","","","","1592","29","false","1","1","1","several characters","28","1","","","","28","29","2","27","0","0","1","406","1592","1","2","0","0","17204","16882","247","71","1654"
"anon-a-larum-for-london","eng000106","","Anon.","0","A Larum for London, or The Siege of Antwerp","","","https://texts.earlyprint.org/works/A06270.xml","","","","","1602","38","false","0.9736842105263158","0.9473684210526315","1","several characters","35.05263157894737","1","","","","36","38","5","33","1","2","2","666","1602","2","","0","0","13639","13036","504","20","1531"
"anon-alphonsus-emperor-of-germany","eng000372","","Anon.","0","Alphonsus, Emperor of Germany","","Tragedy","https://texts.earlyprint.org/works/A31675.xml","","","","","1594","19","false","0.92781217750258","0.8771929824561403","1.1228070175438596","several characters","15.789473684210526","2","","","","18","19","2","17","0","1","1","150","1594","5","","5","0","22105","21238","678","81","2409"
"anon-arden-of-faversham","eng000324","Q1625343","Anon.","0","Arden of Faversham","","Tragedy","https://texts.earlyprint.org/works/A20951.xml","","","","","1590","18","false","1","1","1","several characters","17","1","","","","17","18","2","16","0","0","1","153","1590","1","7","0","0","21146","20507","548","330","2087"
"anon-band-cuff-and-ruff","eng000064","","Anon.","0","Band, Cuff, and Ruff, or Exchange Ware at the Second Hand","","Comedy","https://texts.earlyprint.org/works/A03424.xml","","","","","1615","3","false","1","1","1","eng000064-band|eng000064-cuffe|eng000064-ruff","2","1","","","","2","3","0","3","0","0","1","3","1615","1","","0","0","1786","1715","18","79","0"
"anon-bonduca","eng000637","","Anon.","0","Bonduca, or The British Heroine","","","https://texts.earlyprint.org/works/A27180.xml","","","","","1696","0","false","","","","","","","","","1696","","0","0","0","0","0","","","","6","","5","1","16965","14789","392","7","1793"
"anon-brutus-of-alba","eng000620","","Anon.","0","Brutus of Alba, or Augusta's Triumph","","","https://texts.earlyprint.org/works/A55543.xml","","","","","1697","0","false","","","","","","","","","1697","","0","0","0","0","0","","","","8","","5","0","11979","9460","820","89","925"
"anon-caesar-and-pompey","eng000427","","Anon.","0","Caesar and Pompey, or Caesar's Revenge","","Tragedy","https://texts.earlyprint.org/works/A73627.xml","","","","","1592","28","false","0.8769131022752209","0.7354497354497355","1.2645502645502646","several characters","19.857142857142858","2","","","","27","28","3","23","2","1","1","278","1592","24","","5","20","20004","19275","286","0","2450"
"anon-canterbury-his-change-of-diet","eng000397","","Anon.","0","Canterbury His Change of Diet","","Comedy","https://texts.earlyprint.org/works/A52953.xml","","","","","1641","11","false","0.5818181818181819","0.2545454545454545","1.391304347826087","eng000397-canterbury","2.5454545454545454","2","","","","6","11","1","10","0","0","3","14","1641","5","","4","1","1542","1330","230","0","125"
"anon-emilia","eng000594","","Anon.","0","Emilia","","","https://texts.earlyprint.org/works/A39384.xml","","","","","1672","0","false","","","","","","","","","1672","","0","0","0","0","0","","","","45","","5","45","20833","19195","864","0","2334"
"anon-everyman","eng000435","Q662065","Anonymous","0","Everyman","","Comedy","http://purl.ox.ac.uk/ota/3034","Manchester University Press","Manchester","1961","","1485","17","false","1","1","1","several characters","16","1","","","1485","16","17","0","1","16","2","1","136","","1","14","0","0","7116","7076","5","0","927"
"anon-fair-em","eng000327","Q5429788","Anon.","0","Fair Em","","Comedy","https://texts.earlyprint.org/works/A21328.xml","","","","","1590","19","false","1","1","1","several characters","18","1","","","","18","19","4","15","0","0","1","171","1590","1","4","1","1","12589","12179","441","1","1472"
"anon-henry-ii-king-of-england","eng000641","","Anon.","0","Henry II, King of England, with the Death of Rosamond","","","https://texts.earlyprint.org/works/A30781.xml","","","","","1693","0","false","","","","","","","","","1693","","0","0","0","0","0","","","","6","","5","2","20649","18864","365","353","1691"
"anon-jack-straw","eng000235","","Anon.","0","Jack Straw","","","https://texts.earlyprint.org/works/A13062.xml","","","","","1590","22","false","0.9241226609647665","0.8095238095238095","1.1904761904761905","several characters","17","2","","","","21","22","2","20","0","1","1","187","1590","4","","4","0","8528","7820","266","7","835"
"anon-jeronimo-with-the-wars-of-portugal-1","eng000097","","Anon.","0","1 Jeronimo, with the Wars of Portugal","","","https://texts.earlyprint.org/works/A04941.xml","","","","","1604","25","false","1","1","1","several characters","24","1","","","","24","25","2","22","1","0","1","300","1604","1","","0","0","10047","9445","599","4","1261"
"anon-knavery-in-all-trades","eng000566","","Anon.","0","Knavery in All Trades, or The Coffee-House","","","https://texts.earlyprint.org/works/A63181.xml","","","","","1664","0","false","","","","","","","","","1664","","0","0","0","0","0","","","","6","","5","3","12741","12234","422","613","10"
"anon-locrine","eng000201","Q6131445","Anon.","0","Locrine","","Tragedy","https://texts.earlyprint.org/works/A11262.xml","","","","","1591","27","false","0.7991757430353922","0.3162393162393162","1.8774928774928774","eng000201-thrasimachus","8.222222222222221","4","","","","20","27","5","22","0","0","1","111","1591","26","4","5","26","16779","15771","883","41","1825"
"anon-mucedorus-and-amadine","eng000377","","Anon.","0","Mucedorus (and Amadine)","","Comedy","https://texts.earlyprint.org/works/A41993.xml","","","","","1591","17","false","1","1","1","several characters","16","1","","","","16","17","3","14","0","0","1","136","1591","1","","0","0","13362","12672","440","344","1034"
"anon-nero","eng000178","","Anon.","0","Nero","","Tragedy","https://texts.earlyprint.org/works/A08065.xml","","","","","1624","30","false","0.8719024389439709","0.696551724137931","1.303448275862069","eng000178-antonius|eng000178-nero|eng000178-tigellinus","20.2","2","","","","29","30","3","27","0","1","1","303","1624","5","","5","0","18747","18407","393","0","2295"
"anon-nobody-and-somebody","eng000179","","Anon.","0","Nobody and Somebody","","","https://texts.earlyprint.org/works/A08262.xml","","","","","1603","28","false","1","1","1","several characters","27","1","","","","27","28","4","24","0","0","1","378","1603","2","","0","0","16935","16292","348","466","1504"
"anon-piso-s-conspiracy","eng000695","","Anon.","0","Piso's Conspiracy","","","https://texts.earlyprint.org/works/A54921.xml","","","","","1676","0","false","","","","","","","","","1676","","0","0","0","0","0","","","","13","","5","12","15360","14563","335","0","1798"
"anon-produced-by-duffett-the-amorous-old-woman","eng000480","","Anon.","0","The Amorous Old Woman, or 'Tis Well if It Take","","","https://texts.earlyprint.org/works/A36755.xml","","","","","1674","0","false","","","","","","","","","1674","","0","0","0","0","0","","","","30","","5","30","19814","18348","413","0","2306"
"anon-produced-by-horden-neglected-virtue","eng000673","","Anon.","0","Neglected Virtue, or The Unhappy Conqueror","","","https://texts.earlyprint.org/works/A44429.xml","","","","","1696","0","false","","","","","","","","","1696","","0","0","0","0","0","","","","10","","5","10","16494","14849","501","238","1136"
"anon-romulus-and-hersilia","eng000723","","Anon.","0","Romulus and Hersilia, or The Sabine War","","","https://texts.earlyprint.org/works/A62347.xml","","","","","1683","0","false","","","","","","","","","1683","","0","0","0","0","0","","","","16","","5","16","21646","20158","643","60","2048"
"anon-settle-the-fairy-queen","eng000621","Q2743188","Anon.","0","The Fairy Queen","","","https://texts.earlyprint.org/works/A59309.xml","","","","","1692","0","false","","","","","","","","","1692","","0","0","0","0","0","","","","13","17","5","0","14827","12445","1079","84","1213"
"anon-she-ventures-and-he-wins","eng000560","Q28455691","Anon.","0","She Ventures and He Wins","","","https://texts.earlyprint.org/works/A59615.xml","","","","","1696","0","false","","","","","","","","","1696","","0","0","0","0","0","","","","18","1","5","18","18381","15967","1128","556","37"
"anon-the-bloody-duke","eng000737","","Anon.","0","The Bloody Duke, or The Adventures for a Crown","","","https://texts.earlyprint.org/works/A28408.xml","","","","","1690","0","false","","","","","","","","","1690","","0","0","0","0","0","","","","15","","11","14","20121","17741","705","342","691"
"anon-the-contention-between-liberality-and-prodigality","eng000287","","Anon.","0","The Contention between Liberality and Prodigality","","Tragicomedy","https://texts.earlyprint.org/works/A19182.xml","","","","","1601","25","false","0.7885258075258075","0.3233333333333333","1.8766666666666667","eng000287-prodigality","7.76","4","","","","16","25","4","21","0","0","1","97","1601","27","","5","26","10773","9226","227","293","795"
"anon-the-cornish-comedy","eng000533","","Anon.","0","The Cornish Comedy","","","https://texts.earlyprint.org/works/A55540.xml","","","","","1696","0","false","","","","","","","","","1696","","0","0","0","0","0","","","","8","","5","5","22079","19416","795","753","20"
"anon-the-counterfeit-bridegroom","eng000516","Q107556930","Anon.","0","The Counterfeit Bridegroom, or The Defeated Widow","","","https://texts.earlyprint.org/works/A50792.xml","","","","","1677","0","false","","","","","","","","","1677","","0","0","0","0","0","","","","9","1","5","9","19663","17800","827","759","73"
