,numOfCoAuthors,title,normalizedGenre,yearNormalized,libretto,datePremiered,yearPremiered,yearPrinted,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numOfActs,numOfScenes,wordCountText,wordCountStage,wordCountSp
0,0,"Argélie, Reine de Thessalie",Tragedy,1674,False,1678-02-25,1678.0,1674,8,4,4,0,0,5,29,17307,0,15962
1,0,Coriolan,Tragedy,1676,False,1676-01-24,1676.0,1676,7,3,3,1,0,0,23,17050,0,14664
2,0,Lyncée,Tragedy,1678,False,1678-02-25,1678.0,1681,7,3,4,0,0,5,26,13769,7,13576
3,0,Risette ou Les Millions de la Mansarde,Comedy,1849,False,1849-08-08,1849.0,1873,4,2,2,0,0,0,12,7078,438,6876
4,0,Diogène et Scapin,,1880,False,,,1880,3,0,2,1,0,0,3,3099,134,2983
5,0,Gaieté Marseillaise,,1895,False,,,1895,1,0,1,0,0,0,1,850,0,813
6,0,L'Homme qui ne Peut pas Siffler,,1885,False,,,1885,1,0,1,0,0,0,1,1387,2,1330
7,0,Le Nouveau Né,,1885,False,,,1885,1,0,1,0,0,0,1,694,0,650
8,0,La Double Méprise,,1888,False,,,1888,16,10,0,6,0,0,25,8245,526,7749
9,0,Au Clair de la Lune,Comedy,1870,False,1879-06-02,1879.0,1870,7,1,4,2,0,0,12,4781,598,4509
10,0,Mascarille,,1873,False,1873-01-15,1873.0,1873,1,0,1,0,0,0,1,1131,0,1040
11,0,Molière à Shakespeare,,1879,False,1879-06-02,1879.0,1879,1,0,1,0,0,0,1,1846,78,1748
12,0,Pygmalion,,1872,False,1879-06-02,1879.0,1872,4,0,0,4,0,0,4,4208,280,3896
13,0,Smilis,,1881,False,1881-01-23,1881.0,1884,12,4,1,7,0,0,41,18712,1230,17887
14,0,Polyxène,Tragedy,1804,False,1804-01-23,1804.0,1804,6,3,2,1,0,0,17,9627,140,7150
15,0,L'Avare Amoureux,Comedy,1781,False,,,1781,8,3,4,1,0,1,22,6405,55,6218
16,0,Pan et Doris Pastorale,,1729,False,,,1729,9,0,3,6,0,1,7,2289,11,1628
17,0,Polixène,Comedy,1729,False,,,1729,4,2,2,0,0,1,10,4088,9,3388
18,0,Les Trois Spectacles Prologue,,1729,False,,,1729,7,4,3,0,0,1,2,2168,0,1514
19,0,L'Epreuve Réciproque,Comedy,1711,False,1711-10-06,1711.0,1711,6,3,3,0,0,1,18,6190,15,5825
20,0,L'Ecole des Bourgeois,Comedy,1728,False,1728-09-20,1728.0,1728,13,2,5,6,0,3,49,15076,306,14615
21,0,L'Hiver,Comedy,1733,False,1733-02-19,1733.0,1733,10,3,4,3,0,1,15,8369,179,8121
22,0,Le Pauvre Bougre et le Bon Génie,,1889,False,,,1889,4,1,2,1,0,0,10,3285,286,3112
23,0,Un Mécontent,,1889,False,,,1889,1,0,1,0,0,0,1,1044,0,1007
24,0,Une Idée Lumineuse,,1889,False,,,1889,1,0,1,0,0,0,1,1126,0,1088
25,0,Les Lilas Blancs,Comedy,1881,False,,,1881,3,1,0,2,0,0,4,3039,255,2877
26,1,Les Papilllotes,Comedy,1834,False,1834-01-17,1834.0,1834,16,2,5,9,0,0,17,9631,377,9350
27,1,Une Séduction,,1832,False,1832-08-06,1832.0,1832,8,1,2,5,0,0,32,13456,377,13105
28,0,"Anaximandre, Comédie.",Comedy,1782,False,1782-12-20,1782.0,1805,5,3,2,0,0,1,12,5852,262,5109
29,0,La Comédienne,Comedy,1804,False,1816-03-06,1816.0,1804,7,4,3,0,0,1,31,12642,110,12225
30,0,Le Rêve du Mari,Comedy,1826,False,1826-05-20,1826.0,1826,5,3,2,0,0,0,23,8624,269,8232
31,0,Les Etourdis,Comedy,1788,False,1816-03-06,1816.0,1788,8,2,6,0,0,0,38,11789,147,11392
32,0,Molière et ses Amis ou La Soirée d'Auteuil,Comedy,1804,False,1804-08-04,1804.0,1804,9,2,6,1,0,1,19,8497,167,8098
33,0,Dialogue de la Prude et de la Coquette,,1659,False,,,1659,2,2,0,0,0,0,1,6397,496,5012
34,0,Adam,,1170,False,,,1170,18,1,14,3,0,1,10,12049,1904,11890
35,0,Les Aventures de Ninette,Comedy,1833,False,1833-01-01,1833.0,1833,8,3,1,4,0,1,6,2325,518,2148
36,0,Les Bonnes Gens,Comedy,1772,False,,,1772,6,0,3,3,0,1,6,3578,30,3040
37,0,Fragment d'une Comédie Intitulée Chapelain Décoiffé.,,1666,False,,,1666,3,0,3,0,0,1,5,2432,0,2312
