,index,bio,n_budget,language
0,UX-аналитика и проектирование информационных систем,"(ранее — программа «Информационные системы и взаимодействие человек-компьютер»)Магистерская программа готовит специалистов в области анализа и проектирования современных информационных систем, ориентированных на сложное пользовательское взаимодействие. Программа призвана удовлетворить растущий спрос на экспертов, сочетающих владение современными методами математического моделирования и анализа данных, понимание человеческого поведения в сложных онлайн-системах и владение методами проектирования информационных систем, оптимизирующих пользовательский опыт и бизнес-цели.",15,RUS+ENG
1,Анализ данных в биологии и медицине,"Магистратура предназначена для бакалавров в области прикладной математики и/или анализа данных и специалистов, работающих в области наук о жизни и желающих приобрести или усовершенствовать навыки математического моделирования и анализа медико-биологических данных.Программа нацелена на подготовку будущих лидеров биоинформатических исследований, обладающих компетенциями для разработки и применения на практике вычислительных методов с целью решения задач в различных областях биологии и медицины.",25,RUS+ENG
2,Анализ данных для государства и общества,"Магистерская программа готовит новое поколение аналитиков и ученых в сфере анализа данных, политологии, социологии, урбанистики и государственного управления.В стране и мире требуется все больше грамотных аналитиков, обладающих одновременно цифровыми компетенциями и компетенциями социально-политического анализа. Инновационная программа - уникальное предложение для выпускников вузов, которые осознают необходимость этих компетенций для успешной карьеры.Программа основана на проектной работе и сочетании содержательной теории и методической практики.",20,ENG
3,Аналитика больших данных,"Магистратура готовит высококвалифицированных  специалистов в области хранения, обработки и анализа больших данных. Выпускник программы осваивает методы прикладного статистического анализа, машинного обучения, инструменты промышленной разработки, MLOps, основы СУБД, Data Warehouse (DWH), Data Engineering.",,RUS
4,Аналитика данных для бизнеса и экономики,"Программа основана на углубленной подготовке в области анализа и интерпретации данных. В зависимости от выбранного трека (экономика или менеджмент), это ядро дополняется профильными дисциплинами, которые формируют структурированный подход к решению проблем и принятию решений в бизнесе и в контексте экономической политики.Цель программы – подготовить менеджеров и экономистов нового поколения, которые владеют кросс-функциональными компетенциями и способны принимать эффективные управленческие решения на основе данных. Выпускники программы смогут применять современные инструменты для сбора, анализа и визуализации данных для решения задач как в рамках отдельной компании, так и в более широком экономическом контексте.Преподается полностью на английском языке.",40,ENG
5,Аналитика данных и прикладная статистика / Data Analytics and Social Statistics,"(ранее — программа «Прикладная статистика с методами сетевого анализа»)Англоязычная магистерская программа полностью в онлайн-формате, созданная по образцу образовательной программы Университета Индианы. Готовим специалистов в области аналитики данных, прикладной статистики и сетевого анализа. Выпускники могут работать в сфере бизнеса, аналитических центрах и академической среде.",,ENG
6,Аналитик деловой разведки,Преподаватели курса готовят специалистов в области информационно-аналитического обеспечения комплексной безопасности бизнеса. Вы изучите функции конкурентной разведки как неотъемлемой составной части менеджмента организации.Особое внимание уделяется практическому освоению технологий big data и инструментов информационно-аналитической работы в компаниях в современных условиях информационного противоборства.,10,RUS+ENG
7,Аппаратно-программные комплексы искусственного интеллекта,"Программа реализуется совместно с компанией VK и направлена на подготовку специалистов в сфере создания встроенных приложений с использованием технологий искусственного интеллекта, в том числе для направления Edge AI.Слушатели программы получают знания в области теории и практики цифровой обработки сигналов, машинного обучения, нейрокомпьютерных технологий и искусственного интеллекта, разработки встроенного и прикладного программного обеспечения, разработки цифровых вычислительных систем, процессорных архитектур и архитектур нейрочипов, а также в области микроэлектроники.",18,RUS
8,Археологические исследования,"Уникальная для России и редко представленная на международном уровне магистерская программа Факультета гуманитарных наук НИУ ВШЭ предлагает углубленное изучение античной и древневосточных цивилизаций на основе комплексного анализа письменных и археологических источников с акцентом на археологические дисциплины. В программу входят дисциплины, практически не представленные в европейских и американских университетах, связанные с исследованием Причерноморья, Кавказа, степей Евразии и Средней Азии.Основная цель программы - подготовить специалистов с обширной базой гуманитарных знаний с последующим эффективным применением в практической деятельности.",16,RUS+ENG
9,Бизнес-аналитика,"Специалисты в области бизнес-аналитики, системные аналитики, аналитики данных и руководители проектов разработки информационных систем находятся в топ-рейтинге востребованности порталов вакансий работодателей.Программа «Бизнес-аналитика» ориентирована на подготовку профессионалов, способных эффективно использовать и разрабатывать системы информационно-аналитической поддержки управления, решать задачи по проектированию, анализу данных, оптимизации бизнес-процессов, организации и совершенствованию информационной инфраструктуры предприятия.(Ранее — программа «Информационная аналитика в управлении предприятием»)",18,RUS+ENG
